stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,stop_short_name
104487,Eastbound Fraser at Tunstall,50.6642119958377,-120.32656700016202,104487,0,,Eastbound Fraser at Tunstall
104488,Eastbound Fraser St at Fraser Cres,50.6643339962206,-120.32358900002401,104488,0,,Eastbound Fraser St at Fraser Cres
104489,Eastbound Fraser at 9th Ave,50.6641809959283,-120.318647999625,104489,0,,Eastbound Fraser at 9th Ave
104490,Northbound Fraser at McMurdo,50.6656059958382,-120.316272000688,104490,0,,Northbound Fraser at McMurdo
104491,Northbound 11th Ave at Douglas,50.667945996258794,-120.31412200046701,104491,0,,Northbound 11th Ave at Douglas
104492,Eastbound Pine at 11th Ave,50.669519996150804,-120.31369200056501,104492,0,,Eastbound Pine at 11th Ave
104493,Northbound 13th Ave at Pine,50.66992799610849,-120.309294999773,104493,0,,Northbound 13th Ave at Pine
104494,Westbound Columbia at 13th Ave,50.6714129965074,-120.31035799967901,104494,0,,Westbound Columbia at 13th Ave
104495,Westbound Columbia at 12th Ave,50.6714269964302,-120.312225000422,104495,0,,Westbound Columbia at 12th Ave
104496,Northbound 11th Ave at Columbia,50.6717619957794,-120.31408700071,104496,0,,Northbound 11th Ave at Columbia
104497,Westbound Battle at 11th Ave,50.6731629959257,-120.31466000038401,104497,0,,Westbound Battle at 11th Ave
104498,Westbound Battle at 9th Ave,50.6731789958838,-120.31935199949402,104498,0,,Westbound Battle at 9th Ave
104499,Southbound 7th Ave at Battle,50.672916996195404,-120.32440800057002,104499,0,,Southbound 7th Ave at Battle
104500,Westbound Columbia at 7th Ave,50.6714619964847,-120.324659999719,104500,0,,Westbound Columbia at 7th Ave
104501,Ponderosa Lodge Entrance,50.6696699965725,-120.331499000059,104501,0,,Ponderosa Lodge Entrance
104502,Westbound Hospital Access at Glenfair,50.6681579958568,-120.330830000494,104502,0,,Westbound Hospital Access at Glenfair
104503,Royal Inland Hospital Entrance,50.6698889962825,-120.333556000017,104503,0,,Royal Inland Hospital Entrance
104504,Lansdowne Exchange Bay C,50.67685099572059,-120.32591999947701,104504,0,800004,Lansdowne Exchange Bay C
